n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Collin Gillespie OVER PTS 9.5 (GOBLIN) [id:10649143] | Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271] | Jaime Jaquez OVER PTS 14 (STANDARD) [id:10643937] | Ryan Kalkbrenner OVER REB 5.5 (DEMON) [id:10644134],0.1168834351424809,10.0,1.0,10.0,1.168834351424809,10.0,atlas,0.5847091514104588,0.06201958473835084,Collin Gillespie OVER PTS 9.5 (GOBLIN) [id:10649143] | Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271] | Jaime Jaquez OVER PTS 14 (STANDARD) [id:10643937] | Ryan Kalkbrenner OVER REB 5.5 (DEMON) [id:10644134],0.0,0.0,0.0,0.0,0.0,0,0.0,1.168834351424809,"['collin gillespie', 'grayson allen', 'jaime jaquez', 'ryan kalkbrenner']",1,Collin Gillespie OVER PTS 9.5 (GOBLIN) [id:10649143],Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271],Jaime Jaquez OVER PTS 14 (STANDARD) [id:10643937],Ryan Kalkbrenner OVER REB 5.5 (DEMON) [id:10644134],0,
4,Coby White OVER PTS 9.5 (GOBLIN) [id:10643853] | Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10643970] | Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268] | Davion Mitchell OVER AST 6.5 (DEMON) [id:10643870],0.11648365024740076,10.0,1.0,10.0,1.1648365024740075,10.0,atlas,0.5842791642912273,0.06939789233292878,Coby White OVER PTS 9.5 (GOBLIN) [id:10643853] | Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10643970] | Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268] | Davion Mitchell OVER AST 6.5 (DEMON) [id:10643870],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1648365024740075,"['coby white', 'kon knueppel', 'grayson allen', 'davion mitchell']",1,Coby White OVER PTS 9.5 (GOBLIN) [id:10643853],Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10643970],Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268],Davion Mitchell OVER AST 6.5 (DEMON) [id:10643870],0,
4,Bam Adebayo OVER REB 7.5 (GOBLIN) [id:10644454] | Jaime Jaquez OVER PRA 23.5 (STANDARD) [id:10643940] | Norman Powell OVER PRA 27 (STANDARD) [id:10644083] | Tyler Herro OVER PTS 24.5 (DEMON) [id:10644157],0.11613619740944457,10.0,1.0,10.0,1.1613619740944456,10.0,atlas,0.5838277066796429,0.0796749416882854,Bam Adebayo OVER REB 7.5 (GOBLIN) [id:10644454] | Jaime Jaquez OVER PRA 23.5 (STANDARD) [id:10643940] | Norman Powell OVER PRA 27 (STANDARD) [id:10644083] | Tyler Herro OVER PTS 24.5 (DEMON) [id:10644157],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1613619740944456,"['bam adebayo', 'jaime jaquez', 'norman powell', 'tyler herro']",1,Bam Adebayo OVER REB 7.5 (GOBLIN) [id:10644454],Jaime Jaquez OVER PRA 23.5 (STANDARD) [id:10643940],Norman Powell OVER PRA 27 (STANDARD) [id:10644083],Tyler Herro OVER PTS 24.5 (DEMON) [id:10644157],0,
4,Moussa Diabaté OVER REB 7.5 (GOBLIN) [id:10644062] | Norman Powell OVER PRA 27 (STANDARD) [id:10644083] | Miles Bridges OVER PTS 15.5 (STANDARD) [id:10644026] | Ryan Kalkbrenner OVER REB 5.5 (DEMON) [id:10644134],0.11565083447954143,10.0,1.0,10.0,1.1565083447954143,10.0,atlas,0.5832162709631343,0.06968330765586335,Moussa Diabaté OVER REB 7.5 (GOBLIN) [id:10644062] | Norman Powell OVER PRA 27 (STANDARD) [id:10644083] | Miles Bridges OVER PTS 15.5 (STANDARD) [id:10644026] | Ryan Kalkbrenner OVER REB 5.5 (DEMON) [id:10644134],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1565083447954143,"['moussa diabaté', 'norman powell', 'miles bridges', 'ryan kalkbrenner']",1,Moussa Diabaté OVER REB 7.5 (GOBLIN) [id:10644062],Norman Powell OVER PRA 27 (STANDARD) [id:10644083],Miles Bridges OVER PTS 15.5 (STANDARD) [id:10644026],Ryan Kalkbrenner OVER REB 5.5 (DEMON) [id:10644134],0,
4,Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150] | Tyler Herro OVER PRA 31 (STANDARD) [id:10644163] | Kel'el Ware OVER REB 10.5 (STANDARD) [id:10650505] | Kon Knueppel OVER PRA 29.5 (DEMON) [id:10644519],0.11560620624193428,10.0,1.0,10.0,1.1560620624193427,10.0,atlas,0.5831441030887543,0.0768199598188036,Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150] | Tyler Herro OVER PRA 31 (STANDARD) [id:10644163] | Kel'el Ware OVER REB 10.5 (STANDARD) [id:10650505] | Kon Knueppel OVER PRA 29.5 (DEMON) [id:10644519],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1560620624193427,"['jordan goodwin', 'tyler herro', ""kel'el ware"", 'kon knueppel']",1,Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150],Tyler Herro OVER PRA 31 (STANDARD) [id:10644163],Kel'el Ware OVER REB 10.5 (STANDARD) [id:10650505],Kon Knueppel OVER PRA 29.5 (DEMON) [id:10644519],0,
4,Ryan Kalkbrenner OVER REB 3.5 (GOBLIN) [id:10644137] | Coby White OVER PTS 13.5 (STANDARD) [id:10643852] | Tyler Herro OVER PRA 31 (STANDARD) [id:10644163] | Collin Gillespie OVER PRA 23.5 (DEMON) [id:10649148],0.11544571560909504,10.0,1.0,10.0,1.1544571560909505,10.0,atlas,0.583042841474688,0.0751321253318959,Ryan Kalkbrenner OVER REB 3.5 (GOBLIN) [id:10644137] | Coby White OVER PTS 13.5 (STANDARD) [id:10643852] | Tyler Herro OVER PRA 31 (STANDARD) [id:10644163] | Collin Gillespie OVER PRA 23.5 (DEMON) [id:10649148],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1544571560909505,"['ryan kalkbrenner', 'coby white', 'tyler herro', 'collin gillespie']",1,Ryan Kalkbrenner OVER REB 3.5 (GOBLIN) [id:10644137],Coby White OVER PTS 13.5 (STANDARD) [id:10643852],Tyler Herro OVER PRA 31 (STANDARD) [id:10644163],Collin Gillespie OVER PRA 23.5 (DEMON) [id:10649148],0,
4,Kel'el Ware OVER REB 8.5 (GOBLIN) [id:10650537] | Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10643970] | Davion Mitchell OVER RA 7.5 (STANDARD) [id:10643888] | Coby White OVER PRA 20.5 (DEMON) [id:10643856],0.11526654266926518,10.0,1.0,10.0,1.152665426692652,10.0,atlas,0.5827128478358659,0.08950411313094549,Kel'el Ware OVER REB 8.5 (GOBLIN) [id:10650537] | Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10643970] | Davion Mitchell OVER RA 7.5 (STANDARD) [id:10643888] | Coby White OVER PRA 20.5 (DEMON) [id:10643856],0.0,0.0,0.0,0.0,0.0,0,0.0,1.152665426692652,"[""kel'el ware"", 'kon knueppel', 'davion mitchell', 'coby white']",1,Kel'el Ware OVER REB 8.5 (GOBLIN) [id:10650537],Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10643970],Davion Mitchell OVER RA 7.5 (STANDARD) [id:10643888],Coby White OVER PRA 20.5 (DEMON) [id:10643856],0,
4,Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10643967] | Royce O'Neale OVER PRA 15.5 (STANDARD) [id:10650250] | Jaime Jaquez OVER PTS 14 (STANDARD) [id:10643937] | Grayson Allen OVER PRA 24.5 (DEMON) [id:10649765],0.11526649933293244,10.0,1.0,10.0,1.1526649933293245,10.0,atlas,0.58275211670527,0.07129813998185754,Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10643967] | Royce O'Neale OVER PRA 15.5 (STANDARD) [id:10650250] | Jaime Jaquez OVER PTS 14 (STANDARD) [id:10643937] | Grayson Allen OVER PRA 24.5 (DEMON) [id:10649765],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1526649933293245,"['kon knueppel', ""royce o'neale"", 'jaime jaquez', 'grayson allen']",1,Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10643967],Royce O'Neale OVER PRA 15.5 (STANDARD) [id:10650250],Jaime Jaquez OVER PTS 14 (STANDARD) [id:10643937],Grayson Allen OVER PRA 24.5 (DEMON) [id:10649765],0,
4,LaMelo Ball OVER PTS 14.5 (GOBLIN) [id:10644000] | Kel'el Ware OVER REB 10.5 (STANDARD) [id:10650505] | Norman Powell OVER PRA 27 (STANDARD) [id:10644083] | Grant Williams OVER RA 5.5 (DEMON) [id:10645600],0.11494516710186402,10.0,1.0,10.0,1.1494516710186402,10.0,atlas,0.5823560705417135,0.07967655626357383,LaMelo Ball OVER PTS 14.5 (GOBLIN) [id:10644000] | Kel'el Ware OVER REB 10.5 (STANDARD) [id:10650505] | Norman Powell OVER PRA 27 (STANDARD) [id:10644083] | Grant Williams OVER RA 5.5 (DEMON) [id:10645600],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1494516710186402,"['lamelo ball', ""kel'el ware"", 'norman powell', 'grant williams']",1,LaMelo Ball OVER PTS 14.5 (GOBLIN) [id:10644000],Kel'el Ware OVER REB 10.5 (STANDARD) [id:10650505],Norman Powell OVER PRA 27 (STANDARD) [id:10644083],Grant Williams OVER RA 5.5 (DEMON) [id:10645600],0,
4,Collin Gillespie OVER AST 2.5 (GOBLIN) [id:10649132] | Ryan Kalkbrenner OVER REB 4.5 (STANDARD) [id:10644136] | Brandon Miller OVER PR 26.5 (STANDARD) [id:10643828] | Coby White OVER PRA 24.5 (DEMON) [id:10644477],0.11451902385525269,10.0,1.0,10.0,1.1451902385525268,10.0,atlas,0.5818535834854068,0.07735221256780297,Collin Gillespie OVER AST 2.5 (GOBLIN) [id:10649132] | Ryan Kalkbrenner OVER REB 4.5 (STANDARD) [id:10644136] | Brandon Miller OVER PR 26.5 (STANDARD) [id:10643828] | Coby White OVER PRA 24.5 (DEMON) [id:10644477],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1451902385525268,"['collin gillespie', 'ryan kalkbrenner', 'brandon miller', 'coby white']",1,Collin Gillespie OVER AST 2.5 (GOBLIN) [id:10649132],Ryan Kalkbrenner OVER REB 4.5 (STANDARD) [id:10644136],Brandon Miller OVER PR 26.5 (STANDARD) [id:10643828],Coby White OVER PRA 24.5 (DEMON) [id:10644477],0,
