player,player_norm,status,iael_team_raw,iael_team,roster_team,reason
"Moody,Moses",moody moses,OUT,MIA,MIA,GSW,Injury/Illness-RightWrist;Sprain Injury/Illness-LeftAnkle;
"Richard,Will",richard will,OUT,MIA,MIA,GSW,Injury/Illness-RightAnkle;Sprain
"Smith,Tolu",smith tolu,OUT,HOU,HOU,DET,GLeague-Two-Way
"Miller,Emanuel",emanuel miller,OUT,SAS,SAS,CHI,GLeague-Two-Way ReturntoCompetition
"Plumlee,Mason",mason plumlee,OUT,SAS,SAS,CHA,"Reconditioning TOR@MIN TorontoRaptors Hepburn,Chucky Out GLeague-Two-Way"
"Ingram,Brandon",brandon ingram,QUESTIONABLE,SAS,SAS,TOR,Injury/Illness-LeftThumb;Sprain
"Lawson,A.J.",a j lawson,OUT,SAS,SAS,TOR,GLeague-Two-Way
"Martin,Alijah",alijah martin,OUT,SAS,SAS,TOR,GLeague-Two-Way
"Murray-Boyles,Collin",boyles collin murray,OUT,SAS,SAS,TOR,Injury/Illness-LeftThumb;Sprain
"Collins,Zach",collins zach,OUT,MIN,MIN,CHI,Injury/Illness-Right1stToe;Surgery
"Essengue,Noa",essengue noa,OUT,MIN,MIN,CHI,Injury/Illness-LeftShoulder;Surgery
"Giddey,Josh",giddey josh,QUESTIONABLE,MIN,MIN,CHI,Injury/Illness-RightAnkle;Sprain Injury/Illness-LeftPatellofemoral;
"Ivey,Jaden",ivey jaden,OUT,MIN,MIN,DET,PainSyndrome
"Simons,Anfernee",anfernee simons,OUT,MIN,MIN,BOS,Injury/Illness-LeftUlnarStyloid; Fracture
"Smith,Jalen",jalen smith,DOUBTFUL,MIN,MIN,CHI,Injury/Illness-RightCalf;Strain Injury/Illness-RightQuadricep;
"Williams,Patrick",patrick williams,DOUBTFUL,MIN,MIN,CHI,Strain
"Dickinson,Hunter",dickinson hunter,OUT,DEN,DEN,NOP,GLeague-Two-Way
"Murray,Dejounte",dejounte murray,OUT,DEN,DEN,NOP,Reconditioning
"Williamson,Zion",williamson zion,QUESTIONABLE,DEN,DEN,NOP,Injury/Illness-RightAnkle;Sprain
"Hunter,De'Andre",de'andre hunter,OUT,SAC,SAC,CLE,Repair Injury/Illness-Right5thFinger;
