n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_min_std,pen_role_ctx,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Dean Wade OVER PR 4.5 (GOBLIN) [id:11800202] | Sandro Mamukelashvili OVER PR 4.5 (GOBLIN) [id:11808630] | Anthony Black UNDER PA 15.5 (STANDARD) [id:11788858] | Jamal Cain UNDER REB 4 (STANDARD) [id:11812271],0.29831774974971226,10.0,1.0,10.0,2.9831774974971226,10.0,atlas,0.7465336589196809,0.12775561871786129,Dean Wade OVER PR 4.5 (GOBLIN) [id:11800202] | Sandro Mamukelashvili OVER PR 4.5 (GOBLIN) [id:11808630] | Anthony Black UNDER PA 15.5 (STANDARD) [id:11788858] | Jamal Cain UNDER REB 4 (STANDARD) [id:11812271],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.5,0.5983177497497123,"['dean wade', 'sandro mamukelashvili', 'anthony black', 'jamal cain']",1,Dean Wade OVER PR 4.5 (GOBLIN) [id:11800202],Sandro Mamukelashvili OVER PR 4.5 (GOBLIN) [id:11808630],Anthony Black UNDER PA 15.5 (STANDARD) [id:11788858],Jamal Cain UNDER REB 4 (STANDARD) [id:11812271],0,
4,Sandro Mamukelashvili OVER PR 4.5 (GOBLIN) [id:11808630] | Dean Wade OVER PR 4.5 (GOBLIN) [id:11800202] | Jaylon Tyson OVER PTS 6 (STANDARD) [id:11791639] | Anthony Black UNDER PA 15.5 (STANDARD) [id:11788858],0.2971771630838312,10.0,1.0,10.0,2.9717716308383118,10.0,atlas,0.7459198264039131,0.06898877329065423,Sandro Mamukelashvili OVER PR 4.5 (GOBLIN) [id:11808630] | Dean Wade OVER PR 4.5 (GOBLIN) [id:11800202] | Jaylon Tyson OVER PTS 6 (STANDARD) [id:11791639] | Anthony Black UNDER PA 15.5 (STANDARD) [id:11788858],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.44717716308383115,"['sandro mamukelashvili', 'dean wade', 'jaylon tyson', 'anthony black']",1,Sandro Mamukelashvili OVER PR 4.5 (GOBLIN) [id:11808630],Dean Wade OVER PR 4.5 (GOBLIN) [id:11800202],Jaylon Tyson OVER PTS 6 (STANDARD) [id:11791639],Anthony Black UNDER PA 15.5 (STANDARD) [id:11788858],0,
4,Sandro Mamukelashvili OVER PR 4.5 (GOBLIN) [id:11808630] | Dean Wade OVER PR 4.5 (GOBLIN) [id:11800202] | Anthony Black UNDER PA 15.5 (STANDARD) [id:11788858] | Jaylon Tyson OVER PTS 6 (STANDARD) [id:11791639],0.29717716308383113,10.0,1.0,10.0,2.9717716308383113,10.0,atlas,0.7459198264039131,0.06898877329065423,Sandro Mamukelashvili OVER PR 4.5 (GOBLIN) [id:11808630] | Dean Wade OVER PR 4.5 (GOBLIN) [id:11800202] | Anthony Black UNDER PA 15.5 (STANDARD) [id:11788858] | Jaylon Tyson OVER PTS 6 (STANDARD) [id:11791639],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.44717716308383115,"['sandro mamukelashvili', 'dean wade', 'anthony black', 'jaylon tyson']",1,Sandro Mamukelashvili OVER PR 4.5 (GOBLIN) [id:11808630],Dean Wade OVER PR 4.5 (GOBLIN) [id:11800202],Anthony Black UNDER PA 15.5 (STANDARD) [id:11788858],Jaylon Tyson OVER PTS 6 (STANDARD) [id:11791639],0,
4,Dean Wade OVER PR 4.5 (GOBLIN) [id:11800202] | Sandro Mamukelashvili OVER PR 4.5 (GOBLIN) [id:11808630] | Jamal Cain UNDER REB 4 (STANDARD) [id:11812271] | Jaylon Tyson OVER PTS 6 (STANDARD) [id:11791639],0.2971308990279296,10.0,1.0,10.0,2.971308990279296,10.0,atlas,0.7458948289036631,0.0665496155226061,Dean Wade OVER PR 4.5 (GOBLIN) [id:11800202] | Sandro Mamukelashvili OVER PR 4.5 (GOBLIN) [id:11808630] | Jamal Cain UNDER REB 4 (STANDARD) [id:11812271] | Jaylon Tyson OVER PTS 6 (STANDARD) [id:11791639],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.4471308990279296,"['dean wade', 'sandro mamukelashvili', 'jamal cain', 'jaylon tyson']",1,Dean Wade OVER PR 4.5 (GOBLIN) [id:11800202],Sandro Mamukelashvili OVER PR 4.5 (GOBLIN) [id:11808630],Jamal Cain UNDER REB 4 (STANDARD) [id:11812271],Jaylon Tyson OVER PTS 6 (STANDARD) [id:11791639],0,
4,Sandro Mamukelashvili OVER PR 4.5 (GOBLIN) [id:11808630] | Dean Wade OVER PR 4.5 (GOBLIN) [id:11800202] | Jaylon Tyson OVER PTS 6 (STANDARD) [id:11791639] | Anthony Black UNDER PRA 19.5 (STANDARD) [id:11788501],0.29657573035711055,10.0,1.0,10.0,2.9657573035711056,10.0,atlas,0.7455948589006633,0.06844272707108688,Sandro Mamukelashvili OVER PR 4.5 (GOBLIN) [id:11808630] | Dean Wade OVER PR 4.5 (GOBLIN) [id:11800202] | Jaylon Tyson OVER PTS 6 (STANDARD) [id:11791639] | Anthony Black UNDER PRA 19.5 (STANDARD) [id:11788501],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.4465757303571105,"['sandro mamukelashvili', 'dean wade', 'jaylon tyson', 'anthony black']",1,Sandro Mamukelashvili OVER PR 4.5 (GOBLIN) [id:11808630],Dean Wade OVER PR 4.5 (GOBLIN) [id:11800202],Jaylon Tyson OVER PTS 6 (STANDARD) [id:11791639],Anthony Black UNDER PRA 19.5 (STANDARD) [id:11788501],0,
4,Jakob Poeltl OVER PRA 9.5 (GOBLIN) [id:11784704] | Isaiah Stewart OVER PR 5.5 (GOBLIN) [id:11807661] | Anthony Black UNDER PA 15.5 (STANDARD) [id:11788858] | Jamal Cain UNDER REB 4 (STANDARD) [id:11812271],0.27153703755649583,10.0,1.0,10.0,2.7153703755649583,10.0,atlas,0.7268055452437642,0.1272711277318607,Jakob Poeltl OVER PRA 9.5 (GOBLIN) [id:11784704] | Isaiah Stewart OVER PR 5.5 (GOBLIN) [id:11807661] | Anthony Black UNDER PA 15.5 (STANDARD) [id:11788858] | Jamal Cain UNDER REB 4 (STANDARD) [id:11812271],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.5,0.5715370375564959,"['jakob poeltl', 'isaiah stewart', 'anthony black', 'jamal cain']",1,Jakob Poeltl OVER PRA 9.5 (GOBLIN) [id:11784704],Isaiah Stewart OVER PR 5.5 (GOBLIN) [id:11807661],Anthony Black UNDER PA 15.5 (STANDARD) [id:11788858],Jamal Cain UNDER REB 4 (STANDARD) [id:11812271],0,
4,Isaiah Stewart OVER PR 5.5 (GOBLIN) [id:11807661] | Jakob Poeltl OVER PRA 9.5 (GOBLIN) [id:11784704] | Jaylon Tyson OVER PTS 6 (STANDARD) [id:11791639] | Jamal Cain UNDER REB 4 (STANDARD) [id:11812271],0.2704567333195369,10.0,1.0,10.0,2.704567333195369,10.0,atlas,0.7261667152277463,0.06606512453660553,Isaiah Stewart OVER PR 5.5 (GOBLIN) [id:11807661] | Jakob Poeltl OVER PRA 9.5 (GOBLIN) [id:11784704] | Jaylon Tyson OVER PTS 6 (STANDARD) [id:11791639] | Jamal Cain UNDER REB 4 (STANDARD) [id:11812271],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.4204567333195369,"['isaiah stewart', 'jakob poeltl', 'jaylon tyson', 'jamal cain']",1,Isaiah Stewart OVER PR 5.5 (GOBLIN) [id:11807661],Jakob Poeltl OVER PRA 9.5 (GOBLIN) [id:11784704],Jaylon Tyson OVER PTS 6 (STANDARD) [id:11791639],Jamal Cain UNDER REB 4 (STANDARD) [id:11812271],0,
4,Jakob Poeltl OVER PRA 9.5 (GOBLIN) [id:11784704] | Isaiah Stewart OVER PR 5.5 (GOBLIN) [id:11807661] | Jamal Cain UNDER REB 4 (STANDARD) [id:11812271] | Cade Cunningham UNDER PA 39.5 (STANDARD) [id:11785050],0.2687790526957263,10.0,1.0,10.0,2.687790526957263,10.0,atlas,0.7251746310507938,0.13641611854575486,Jakob Poeltl OVER PRA 9.5 (GOBLIN) [id:11784704] | Isaiah Stewart OVER PR 5.5 (GOBLIN) [id:11807661] | Jamal Cain UNDER REB 4 (STANDARD) [id:11812271] | Cade Cunningham UNDER PA 39.5 (STANDARD) [id:11785050],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.41877905269572624,"['jakob poeltl', 'isaiah stewart', 'jamal cain', 'cade cunningham']",1,Jakob Poeltl OVER PRA 9.5 (GOBLIN) [id:11784704],Isaiah Stewart OVER PR 5.5 (GOBLIN) [id:11807661],Jamal Cain UNDER REB 4 (STANDARD) [id:11812271],Cade Cunningham UNDER PA 39.5 (STANDARD) [id:11785050],0,
4,Jakob Poeltl OVER PRA 9.5 (GOBLIN) [id:11784704] | Sam Merrill OVER PA 4.5 (GOBLIN) [id:11799416] | Daniss Jenkins OVER PA 7.5 (STANDARD) [id:11817337] | Cade Cunningham UNDER PA 39.5 (STANDARD) [id:11785050],0.26442763767743815,10.0,1.0,10.0,2.6442763767743815,10.0,atlas,0.7223460868947416,0.0764220314436228,Jakob Poeltl OVER PRA 9.5 (GOBLIN) [id:11784704] | Sam Merrill OVER PA 4.5 (GOBLIN) [id:11799416] | Daniss Jenkins OVER PA 7.5 (STANDARD) [id:11817337] | Cade Cunningham UNDER PA 39.5 (STANDARD) [id:11785050],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.26442763767743815,"['jakob poeltl', 'sam merrill', 'daniss jenkins', 'cade cunningham']",1,Jakob Poeltl OVER PRA 9.5 (GOBLIN) [id:11784704],Sam Merrill OVER PA 4.5 (GOBLIN) [id:11799416],Daniss Jenkins OVER PA 7.5 (STANDARD) [id:11817337],Cade Cunningham UNDER PA 39.5 (STANDARD) [id:11785050],0,
4,Donovan Mitchell OVER RA 6.5 (GOBLIN) [id:11803143] | Jakob Poeltl OVER PRA 9.5 (GOBLIN) [id:11784704] | Daniss Jenkins OVER PA 7.5 (STANDARD) [id:11817337] | Cade Cunningham UNDER PA 39.5 (STANDARD) [id:11785050],0.2591272776246039,10.0,1.0,10.0,2.591272776246039,10.0,atlas,0.7183130678985525,0.0843894122312785,Donovan Mitchell OVER RA 6.5 (GOBLIN) [id:11803143] | Jakob Poeltl OVER PRA 9.5 (GOBLIN) [id:11784704] | Daniss Jenkins OVER PA 7.5 (STANDARD) [id:11817337] | Cade Cunningham UNDER PA 39.5 (STANDARD) [id:11785050],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2591272776246039,"['donovan mitchell', 'jakob poeltl', 'daniss jenkins', 'cade cunningham']",1,Donovan Mitchell OVER RA 6.5 (GOBLIN) [id:11803143],Jakob Poeltl OVER PRA 9.5 (GOBLIN) [id:11784704],Daniss Jenkins OVER PA 7.5 (STANDARD) [id:11817337],Cade Cunningham UNDER PA 39.5 (STANDARD) [id:11785050],0,
