projection_id,source_projection_id,game_id,game_date,home,opp,player_key,player,team,stat,stat_raw,stat_is_canonical,line,direction,tier,more_allowed,less_allowed,main_line,alt_line,is_main,odds_type,start_time,updated_at,spread,home_team,away_team,home_spread,away_spread,game_spread,spread_source,spread_ok,spread_reason,minutes_s,p,p_role,p_adj,p_close,p_close_raw,p_close_role,q_blowout,q_blowout_spread_only,q_blowout_team_adj,q_blowout_matchup_adj,blowout_minute_drop_base,blowout_minute_drop,blowout_rule_minute_drop_mult,blowout_rule_sensitivity_mult,blowout_rule_count,blowout_rules_applied,minutes_s_blowout,under_blowout_sens_mult,under_blowout_sens_eligible,minutes_s_close,is_star,rotation_tier,blowout_minute_delta,blowout_base_min_for_curve,fragility,fragility_abs,fragility_gap_core,fragility_gap_usage,fragility_gap_dir,usage_dep,usage_dep_capped,usage_dep_cap,usage_dep_eff,usage_risk_gate,usage_baseline,usage_producer_mult,usage_pressure_mult,usage_usg_pct,usage_usg_scaled,usage_usg_mult,usage_scoring_mult,usage_assist_mult,usage_rebound_mult,usage_threes_mult,usage_metric_mult,usage_target_rate,usage_burden_ratio,usage_dep_raw,p_adj_pre_under_relief,p_adj_pre_competitive_usage,competitive_usage_bonus,competitive_usage_eligible,competitive_usage_usage_gate,competitive_usage_frag_gate,competitive_usage_tight_gate,competitive_usage_total_gate,competitive_usage_bonus_uncapped,competitive_usage_headroom,under_relief_haircut,under_relief_haircut_min,under_relief_factor,under_relief_applied,under_frag,under_frag_gap,under_frag_gap_usage,under_frag_dampen_amount,p_adj_pre_under_frag_dampen,min_mean,min_std,rate_mean,rate_std,rate_mean_ctx,rate_mean_ctx_raw,rate_std_ctx,role_metrics_mult,crafted_role_workload_enabled,role_ctx_mult,role_ctx_mult_raw,role_ctx_rate_mult,role_ctx_rate_mult_raw,role_ctx_rate_clamp_lo,role_ctx_rate_clamp_hi,role_ctx_rate_softcap_k,role_ctx_sigma_mult,role_ctx_reason,role_ctx_damp_applied,zero_dnp_mult,zero_dnp_debug,recent_form_blend,opp_defense_strength,form_z_line,form_series_game,form_series_mult,form_opp_defense_factor,form_opp_defense_rel,form_pace_factor,form_opp_defense_adj,form_opp_rate_shift,games_used,thin_window_mult,is_playoff,playoff_rate_applied,playoff_min_applied,role_metrics_score,data_health_flag,role_ctx_outs_used,p_for_cal,p_cal_src,p_cal,p_for_cal_src,_zero_dnp_flip,prop_key,external_prior_score,external_prior_n,external_prior_sources,external_prior_epsilon,is_questionable,q_out_frac,rotowire_game_spread,p_cal_marketed,player_norm,team_norm,opp_norm,player_log,team_log,opp_log,minutes,pts,reb,ast,fg3m,fga,fta,tov,usg_proxy,actual,hit,push,eval_reconstructed,eval_match_quality,eval_stat_source,actual_delta,actual_abs_delta,brier_p,brier_p_role,brier_p_close,brier_p_close_raw,brier_p_close_role,brier_p_adj_pre_under_relief,brier_p_adj,brier_p_for_cal,brier_p_cal
11867179|Andre Drummond|AST|DEMON|0.5|OVER,11867179,156675,2026-05-04,0,NYK,andre drummond,Andre Drummond,PHI,AST,ASSISTS,1,0.5,OVER,DEMON,1,0,,,0,demon,2026-05-04T20:00:00.000-04:00,2026-05-04 14:12:31.292000+00:00,7.5,NYK,PHI,-7.5,7.5,7.5,rotowire,True,ok,0.7,0.5898910108989102,0.5898910108989102,0.5883017943685266,0.5843668018631204,0.5850914908509149,0.5850914908509149,0.2802155750866177,0.2801326838399334,8.289124668434955e-05,0.0,0.2899144604546579,0.2899144604546579,1.0,1.0,0,,0.5319999999999999,0.76,False,0.2449999999999999,False,bench,-0.2899144604546579,15.32112307305235,0.0,0.0,0.0,0.0,0.0,0.883476,0.883476,1.04,0.9092306684922608,0.7789754171478764,0.92,0.99,0.97,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0326346833463813,0.4576382090785417,0.883476,0.5883017943685266,0.5883017943685266,0.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0015892165303835,0.05,1.0,False,0.0,0.0,0.0,0.0,0.5883017943685266,15.32112307305235,8.94459402374967,0.0713110983719902,0.0688579042714044,0.0713110983719902,0.0713110983719902,0.0991553821508224,1.0,False,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,no_iael,,1.0,not_triggered,0.0,1.0,0.5616844636044285,1.0,1.01,1.0,0.0,0.0,1.0,0.0,10,1.2,False,off,off,0.0,OK,0,0.5883017943685266,p_adj,0.5883017943685266,p_adj,False,Andre Drummond|AST|OVER|0.5|DEMON,0.0,0,,0.05,0,0.0,7.5,0.4588753996074508,andre drummond,PHI,NYK,Andre Drummond,PHI,NY,9,0,3,0,0,1,0,2,0.333333,0.0,0.0,0.0,1,player_date,ast,-0.5,0.5,0.34797140473933813,0.34797140473933813,0.3414845591197314,0.3423320526661463,0.3423320526661463,0.34609900125722814,0.34609900125722814,0.34609900125722814,0.34609900125722814
11867236|Andre Drummond|AST|DEMON|1.5|OVER,11867236,156675,2026-05-04,0,NYK,andre drummond,Andre Drummond,PHI,AST,ASSISTS,1,1.5,OVER,DEMON,1,0,,,0,demon,2026-05-04T20:00:00.000-04:00,2026-05-04 14:21:53.781000+00:00,7.5,NYK,PHI,-7.5,7.5,7.5,rotowire,True,ok,0.7,0.3801119888011199,0.3801119888011199,0.3790879347897201,0.3638623331775235,0.3643135686431357,0.3643135686431357,0.2802155750866177,0.2801326838399334,8.289124668434955e-05,0.0,0.2899144604546579,0.2899144604546579,1.0,1.0,0,,0.5319999999999999,0.76,False,0.2449999999999999,False,bench,-0.2899144604546579,15.32112307305235,0.0,0.0,0.0,0.0,0.0,0.974556,0.974556,1.04,0.9801797494860895,0.7789754171478764,0.92,0.99,1.07,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0979040500391439,1.3729146272356252,0.974556,0.3790879347897201,0.3790879347897201,0.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0010240540113998,0.05,1.0,False,0.0,0.0,0.0,0.0,0.3790879347897201,15.32112307305235,8.94459402374967,0.0713110983719902,0.0688579042714044,0.0713110983719902,0.0713110983719902,0.0991553821508224,1.0,False,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,no_iael,,1.0,not_triggered,0.0,1.0,-0.3862004217023104,1.0,1.01,1.0,0.0,0.0,1.0,0.0,10,1.2,False,off,off,0.0,OK,0,0.3790879347897201,p_adj,0.3790879347897201,p_adj,False,Andre Drummond|AST|OVER|1.5|DEMON,0.0,0,,0.05,0,0.0,7.5,0.2956885891359816,andre drummond,PHI,NYK,Andre Drummond,PHI,NY,9,0,3,0,0,1,0,2,0.333333,0.0,0.0,0.0,1,player_date,ast,-1.5,1.5,0.1444851240303427,0.1444851240303427,0.1323957975053911,0.13272437629749673,0.13272437629749673,0.14370766230313506,0.14370766230313506,0.14370766230313506,0.14370766230313506
11867178|Andre Drummond|FG3M|DEMON|0.5|OVER,11867178,156675,2026-05-04,0,NYK,andre drummond,Andre Drummond,PHI,FG3M,3-PT MADE,1,0.5,OVER,DEMON,1,0,,,0,demon,2026-05-04T20:00:00.000-04:00,2026-05-04 15:02:44.027000+00:00,7.5,NYK,PHI,-7.5,7.5,7.5,rotowire,True,ok,0.45,0.4847015298470153,0.4847015298470153,0.4838851235116113,0.4740250180023056,0.4744025597440256,0.4744025597440256,0.2802155750866177,0.2801326838399334,8.289124668434955e-05,0.0,0.2899144604546579,0.2899144604546579,1.0,1.0,0,,0.333,0.74,False,0.1575,False,bench,-0.2899144604546579,15.32112307305235,0.0,0.0,0.0,0.0,0.0,0.853776,0.853776,1.03,0.8860950986029689,0.7789754171478764,0.88,0.99,0.98,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0326346833463813,0.8590229919465339,0.853776,0.4838851235116113,0.4838851235116113,0.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0008164063354039,0.05,1.0,False,0.0,0.0,0.0,0.0,0.4838851235116113,15.32112307305235,8.94459402374967,0.0379904655082998,0.0514029443970454,0.0379904655082998,0.0379904655082998,0.0616835332764545,1.0,False,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,no_iael,,1.0,not_triggered,0.0,1.0,0.1041921279946436,1.0,1.01,1.0,0.0,0.0,1.0,0.0,10,1.2,False,off,off,0.0,OK,0,0.4838851235116113,p_adj,0.4838851235116113,p_adj,False,Andre Drummond|FG3M|OVER|0.5|DEMON,0.0,0,,0.05,0,0.0,7.5,0.3677526938688246,andre drummond,PHI,NYK,Andre Drummond,PHI,NY,9,0,3,0,0,1,0,2,0.333333,0.0,0.0,0.0,1,player_date,fg3m,-0.5,0.5,0.23493557303603707,0.23493557303603707,0.22469971769208616,0.2250577886916838,0.2250577886916838,0.2341448127558473,0.2341448127558473,0.2341448127558473,0.2341448127558473
11862741|Andre Drummond|PR|DEMON|9.5|OVER,11862741,156675,2026-05-04,0,NYK,andre drummond,Andre Drummond,PHI,PR,PTS+REBS,1,9.5,OVER,DEMON,1,0,,,0,demon,2026-05-04T20:00:00.000-04:00,2026-05-04 04:03:37.372000+00:00,7.5,NYK,PHI,-7.5,7.5,7.5,rotowire,True,ok,1.0,0.4634036596340365,0.4634036596340365,0.5113889936823182,0.4480105035567268,0.4488051194880512,0.4488051194880512,0.2802155750866177,0.2801326838399334,8.289124668434955e-05,0.0,0.2899144604546579,0.2899144604546579,1.0,1.0,0,,0.76,0.76,False,0.35,False,bench,-0.2899144604546579,15.32112307305235,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.06,1.0,0.7789754171478764,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6200589835812449,0.9755318504156482,1.0,0.461617744141788,0.461617744141788,0.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0017859154922485,0.05,1.0,False,0.0,0.0,0.0,0.0,0.461617744141788,15.32112307305235,8.94459402374967,0.6356112138389477,0.3657496888660647,0.6356112138389477,0.6356112138389477,0.5705695146310609,1.0,False,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,no_iael,,1.0,not_triggered,0.0,1.0,0.0425215132948422,1.0,1.01,1.0,0.0,0.0,1.0,0.0,10,1.2,False,off,off,0.0,OK,0,0.461617744141788,p_adj,0.461617744141788,p_adj,False,Andre Drummond|PR|OVER|9.5|DEMON,0.9954249908106032,2,"bettingpros,rotowire",0.05,0,0.0,7.5,0.3785265501962661,andre drummond,PHI,NYK,Andre Drummond,PHI,NY,9,0,3,0,0,1,0,2,0.333333,3.0,0.0,0.0,1,player_date,pts+reb,-6.5,6.5,0.21474295176221797,0.21474295176221797,0.2007134112971519,0.2014260352786839,0.2014260352786839,0.21309094170655327,0.26151870285941403,0.21309094170655327,0.21309094170655327
11866909|Andre Drummond|PTS|GOBLIN|0.5|OVER,11866909,156675,2026-05-04,0,NYK,andre drummond,Andre Drummond,PHI,PTS,POINTS,1,0.5,OVER,GOBLIN,1,0,,,0,goblin,2026-05-04T20:00:00.000-04:00,2026-05-04 14:03:41.595000+00:00,7.5,NYK,PHI,-7.5,7.5,7.5,rotowire,True,ok,1.0,0.7375762423757625,0.7375762423757625,0.7846033179056577,0.7352722233375578,0.7365763423657634,0.7365763423657634,0.2802155750866177,0.2801326838399334,8.289124668434955e-05,0.0,0.2899144604546579,0.2899144604546579,1.0,1.0,0,,0.76,0.76,False,0.35,False,bench,-0.2899144604546579,15.32112307305235,0.0007097756464661,0.000521878317648,0.0005385326132294,0.000521878317648,0.000521878317648,0.9603,0.9603,1.06,0.9690746759392292,0.7789754171478764,1.0,0.99,0.97,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0326346833463813,0.1032362432413838,0.9603,0.7347336907243284,0.7347336907243284,0.0,True,0.0,1.0,0.0,0.0,0.0,0.0005385326132294,0.0028425516514341,0.05,1.0,False,0.0,0.0,0.0,0.0,0.7347336907243284,15.32112307305235,8.94459402374967,0.3161165335130985,0.2344298422279215,0.3161165335130985,0.3161165335130985,0.3657105538755576,1.0,False,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,no_iael,,1.0,not_triggered,0.0,1.0,1.209239606496452,1.0,1.01,1.0,0.0,0.0,1.0,0.0,10,1.2,False,off,off,0.0,OK,0,0.7347336907243284,p_adj,0.7347336907243284,p_adj,False,Andre Drummond|PTS|OVER|0.5|GOBLIN,0.9973925436265876,3,"bettingpros,oddsapi,rotowire",0.05,0,0.0,7.5,0.7200390169098418,andre drummond,PHI,NYK,Andre Drummond,PHI,NY,9,0,3,0,0,1,0,2,0.333333,0.0,0.0,0.0,1,player_date,pts,-0.5,0.5,0.5440187133171495,0.5440187133171495,0.5406252424117555,0.5425447081329263,0.5425447081329263,0.539833596285393,0.6156023664685666,0.539833596285393,0.539833596285393
11866910|Andre Drummond|PTS|GOBLIN|1.5|OVER,11866910,156675,2026-05-04,0,NYK,andre drummond,Andre Drummond,PHI,PTS,POINTS,1,1.5,OVER,GOBLIN,1,0,,,0,goblin,2026-05-04T20:00:00.000-04:00,2026-05-04 13:55:25.130000+00:00,7.5,NYK,PHI,-7.5,7.5,7.5,rotowire,True,ok,1.0,0.6594840515948405,0.6594840515948405,0.7064496638113081,0.6588154904146543,0.65998400159984,0.65998400159984,0.2802155750866177,0.2801326838399334,8.289124668434955e-05,0.0,0.2899144604546579,0.2899144604546579,1.0,1.0,0,,0.76,0.76,False,0.35,False,bench,-0.2899144604546579,15.32112307305235,0.0027551055484655,0.0018151062130564,0.0018730302814871,0.0018151062130564,0.0018151062130564,0.9603,0.9603,1.06,0.9690746759392292,0.7789754171478764,1.0,0.99,0.97,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0979040500391439,0.3097087297241516,0.9603,0.6569424601331671,0.6569424601331671,0.0,True,0.0,1.0,0.0,0.0,0.0,0.0018730302814871,0.0025415914616733,0.05,1.0,False,0.0,0.0,0.0,0.0,0.6569424601331671,15.32112307305235,8.94459402374967,0.3161165335130985,0.2344298422279215,0.3161165335130985,0.3161165335130985,0.3657105538755576,1.0,False,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,no_iael,,1.0,not_triggered,0.0,1.0,0.9308221231570004,1.0,1.01,1.0,0.0,0.0,1.0,0.0,10,1.2,False,off,off,0.0,OK,0,0.6569424601331671,p_adj,0.6569424601331671,p_adj,False,Andre Drummond|PTS|OVER|1.5|GOBLIN,0.9901440735628192,3,"bettingpros,oddsapi,rotowire",0.05,0,0.0,7.5,0.6438036109305038,andre drummond,PHI,NYK,Andre Drummond,PHI,NY,9,0,3,0,0,1,0,2,0.333333,0.0,0.0,0.0,1,player_date,pts,-1.5,1.5,0.4349192143079462,0.4349192143079462,0.4340378504103014,0.4355788823677377,0.4355788823677377,0.4315733959258179,0.4990711274991103,0.4315733959258179,0.4315733959258179
11862786|Andre Drummond|PTS|DEMON|4.5|OVER,11862786,156675,2026-05-04,0,NYK,andre drummond,Andre Drummond,PHI,PTS,POINTS,1,4.5,OVER,DEMON,1,0,,,0,demon,2026-05-04T20:00:00.000-04:00,2026-05-04 12:26:37.993000+00:00,7.5,NYK,PHI,-7.5,7.5,7.5,rotowire,True,ok,1.0,0.4732026797320268,0.4732026797320268,0.5000949754016534,0.4598882466609377,0.4607039296070393,0.4607039296070393,0.2802155750866177,0.2801326838399334,8.289124668434955e-05,0.0,0.2899144604546579,0.2899144604546579,1.0,1.0,0,,0.76,0.76,False,0.35,False,bench,-0.2899144604546579,15.32112307305235,0.0,0.0,0.0,0.0,0.0,0.99,0.99,1.06,0.9922102458285212,0.7789754171478764,1.0,0.99,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2937121501174318,0.9291261891724548,0.99,0.4713789997089248,0.4713789997089248,0.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.001823680023102,0.05,1.0,False,0.0,0.0,0.0,0.0,0.4713789997089248,15.32112307305235,8.94459402374967,0.3161165335130985,0.2344298422279215,0.3161165335130985,0.3161165335130985,0.3657105538755576,1.0,False,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,no_iael,,1.0,not_triggered,0.0,1.0,0.0955696731386455,1.0,1.01,1.0,0.0,0.0,1.0,0.0,10,1.2,False,off,off,0.0,OK,0,0.4713789997089248,p_adj,0.4713789997089248,p_adj,False,Andre Drummond|PTS|OVER|4.5|DEMON,0.5743195138545714,3,"bettingpros,oddsapi,rotowire",0.05,0,0.0,7.5,0.4242410997380323,andre drummond,PHI,NYK,Andre Drummond,PHI,NY,9,0,3,0,0,1,0,2,0.333333,0.0,0.0,0.0,1,player_date,pts,-4.5,4.5,0.22392077610557112,0.22392077610557112,0.21149719941687148,0.21224811075536784,0.21224811075536784,0.2221981613665865,0.2500949844219803,0.2221981613665865,0.2221981613665865
11866496|Andre Drummond|PTS|DEMON|5.5|OVER,11866496,156675,2026-05-04,0,NYK,andre drummond,Andre Drummond,PHI,PTS,POINTS,1,5.5,OVER,DEMON,1,0,,,0,demon,2026-05-04T20:00:00.000-04:00,2026-05-04 12:27:10.183000+00:00,7.5,NYK,PHI,-7.5,7.5,7.5,rotowire,True,ok,1.0,0.4234076592340766,0.4234076592340766,0.421775884684087,0.405789618404784,0.4065093490650935,0.4065093490650935,0.2802155750866177,0.2801326838399334,8.289124668434955e-05,0.0,0.2899144604546579,0.2899144604546579,1.0,1.0,0,,0.76,0.76,False,0.35,False,bench,-0.2899144604546579,15.32112307305235,0.0,0.0,0.0,0.0,0.0,1.0692000000000002,1.06,1.06,1.0467385250288723,0.7789754171478764,1.0,0.99,1.08,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3589815168101944,1.1355986756552223,1.0692000000000002,0.421775884684087,0.421775884684087,0.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0016317745499895,0.05,1.0,False,0.0,0.0,0.0,0.0,0.421775884684087,15.32112307305235,8.94459402374967,0.3161165335130985,0.2344298422279215,0.3161165335130985,0.3161165335130985,0.3657105538755576,1.0,False,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,no_iael,,1.0,not_triggered,0.0,1.0,-0.1828478102008061,1.0,1.01,1.0,0.0,0.0,1.0,0.0,10,1.2,False,off,off,0.0,OK,0,0.421775884684087,p_adj,0.421775884684087,p_adj,False,Andre Drummond|PTS|OVER|5.5|DEMON,0.0,0,"bettingpros,oddsapi,rotowire",0.05,0,0.0,7.5,0.3795982962156783,andre drummond,PHI,NYK,Andre Drummond,PHI,NY,9,0,3,0,0,1,0,2,0.333333,0.0,0.0,0.0,1,player_date,pts,-5.5,5.5,0.1792740458980799,0.1792740458980799,0.1646652144051002,0.16524985087732605,0.16524985087732605,0.17789489690104426,0.17789489690104426,0.17789489690104426,0.17789489690104426
11866497|Andre Drummond|PTS|DEMON|7.5|OVER,11866497,156675,2026-05-04,0,NYK,andre drummond,Andre Drummond,PHI,PTS,POINTS,1,7.5,OVER,DEMON,1,0,,,0,demon,2026-05-04T20:00:00.000-04:00,2026-05-04 12:32:11.938000+00:00,7.5,NYK,PHI,-7.5,7.5,7.5,rotowire,True,ok,1.0,0.3317168283171683,0.3317168283171683,0.3304384218773076,0.3203497184282756,0.3209179082091791,0.3209179082091791,0.2802155750866177,0.2801326838399334,8.289124668434955e-05,0.0,0.2899144604546579,0.2899144604546579,1.0,1.0,0,,0.76,0.76,False,0.35,False,bench,-0.2899144604546579,15.32112307305235,0.0,0.0,0.0,0.0,0.0,1.0692000000000002,1.06,1.06,1.0467385250288723,0.7789754171478764,1.0,0.99,1.08,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4895202501957197,1.5485436486207582,1.0692000000000002,0.3304384218773076,0.3304384218773076,0.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0012784064398607,0.05,1.0,False,0.0,0.0,0.0,0.0,0.3304384218773076,15.32112307305235,8.94459402374967,0.3161165335130985,0.2344298422279215,0.3161165335130985,0.3161165335130985,0.3657105538755576,1.0,False,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,no_iael,,1.0,not_triggered,0.0,1.0,-0.7396827768797094,1.0,1.01,1.0,0.0,0.0,1.0,0.0,10,1.2,False,off,off,0.0,OK,0,0.3304384218773076,p_adj,0.3304384218773076,p_adj,False,Andre Drummond|PTS|OVER|7.5|DEMON,0.0,0,"bettingpros,oddsapi,rotowire",0.05,0,0.0,7.5,0.2973945796895768,andre drummond,PHI,NYK,Andre Drummond,PHI,NY,9,0,3,0,0,1,0,2,0.333333,0.0,0.0,0.0,1,player_date,pts,-7.5,7.5,0.11003605418880172,0.11003605418880172,0.10262394209707545,0.1029883038093551,0.1029883038093551,0.10918955065276552,0.10918955065276552,0.10918955065276552,0.10918955065276552
11867237|Andre Drummond|RA|GOBLIN|2.5|OVER,11867237,156675,2026-05-04,0,NYK,andre drummond,Andre Drummond,PHI,RA,REBS+ASTS,1,2.5,OVER,GOBLIN,1,0,,,0,goblin,2026-05-04T20:00:00.000-04:00,2026-05-04 14:50:12.269000+00:00,7.5,NYK,PHI,-7.5,7.5,7.5,rotowire,True,ok,1.0,0.7380761923807619,0.7380761923807619,0.7852212887972888,0.7279858767274117,0.7292770722927707,0.7292770722927707,0.2802155750866177,0.2801326838399334,8.289124668434955e-05,0.0,0.2899144604546579,0.2899144604546579,1.0,1.0,0,,0.76,0.76,False,0.35,False,bench,-0.2899144604546579,15.32112307305235,0.0,0.0,0.0,0.0,0.0,0.9603,0.9603,1.06,0.9690746759392292,0.7789754171478764,1.0,0.99,0.97,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1631734167319065,0.4175307163461057,0.9603,0.7352317139675496,0.7352317139675496,0.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0028444784132123,0.05,1.0,False,0.0,0.0,0.0,0.0,0.7352317139675496,15.32112307305235,8.94459402374967,0.3908057786978394,0.1535384152353,0.3908057786978394,0.3908057786978394,0.202670708110596,1.0,False,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,no_iael,,1.0,not_triggered,0.0,1.0,1.4825759508920466,1.0,1.01,1.0,0.0,0.0,1.0,0.0,10,1.2,False,off,off,0.0,OK,0,0.7352317139675496,p_adj,0.7352317139675496,p_adj,False,Andre Drummond|RA|OVER|2.5|GOBLIN,0.9997914965947844,1,rotowire,0.05,0,0.0,7.5,0.6911178111294966,andre drummond,PHI,NYK,Andre Drummond,PHI,NY,9,0,3,0,0,1,0,2,0.333333,3.0,1.0,0.0,1,player_date,reb+ast,0.5,0.5,0.06860408099775962,0.06860408099775962,0.07399168325975489,0.07329090358637369,0.07329090358637369,0.07010224528856147,0.046129894785897615,0.07010224528856147,0.07010224528856147
