n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Miles Bridges OVER PTS 13.5 (GOBLIN) [id:10645632] | Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Donte DiVincenzo OVER PRA 23.5 (DEMON) [id:10649236],0.06321883311735334,20.0,1.0,20.0,1.2643766623470667,20.0,atlas,0.5808812850735291,0.03698546880053236,Miles Bridges OVER PTS 13.5 (GOBLIN) [id:10645632] | Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Donte DiVincenzo OVER PRA 23.5 (DEMON) [id:10649236],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2643766623470667,"['miles bridges', 'jaime jaquez', ""kel'el ware"", 'tristan silva', 'donte divincenzo']",1.2643766623470667,1,Miles Bridges OVER PTS 13.5 (GOBLIN) [id:10645632],Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499],Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],Donte DiVincenzo OVER PRA 23.5 (DEMON) [id:10649236],0,
5,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753] | LaMelo Ball OVER PTS 16.5 (GOBLIN) [id:10646664] | Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Jaime Jaquez OVER PRA 27.5 (DEMON) [id:10645607],0.06052077154359657,20.0,1.0,20.0,1.2104154308719315,20.0,atlas,0.5741759048834144,0.03585941221566563,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753] | LaMelo Ball OVER PTS 16.5 (GOBLIN) [id:10646664] | Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Jaime Jaquez OVER PRA 27.5 (DEMON) [id:10645607],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2104154308719315,"['ryan kalkbrenner', 'lamelo ball', 'jett howard', 'tristan silva', 'jaime jaquez']",1.2104154308719315,1,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753],LaMelo Ball OVER PTS 16.5 (GOBLIN) [id:10646664],Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],Jaime Jaquez OVER PRA 27.5 (DEMON) [id:10645607],0,
5,Ryan Kalkbrenner OVER PA 4.5 (GOBLIN) [id:10644578] | LaMelo Ball OVER PRA 24.5 (GOBLIN) [id:10644529] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740] | Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551] | Naz Reid OVER PRA 26.5 (DEMON) [id:10649432],0.060882814151847424,20.0,1.0,20.0,1.2176562830369484,20.0,atlas,0.5757584593189887,0.04929195614894415,Ryan Kalkbrenner OVER PA 4.5 (GOBLIN) [id:10644578] | LaMelo Ball OVER PRA 24.5 (GOBLIN) [id:10644529] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740] | Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551] | Naz Reid OVER PRA 26.5 (DEMON) [id:10649432],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2176562830369484,"['ryan kalkbrenner', 'lamelo ball', 'tristan silva', ""kel'el ware"", 'naz reid']",1.2176562830369484,1,Ryan Kalkbrenner OVER PA 4.5 (GOBLIN) [id:10644578],LaMelo Ball OVER PRA 24.5 (GOBLIN) [id:10644529],Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740],Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551],Naz Reid OVER PRA 26.5 (DEMON) [id:10649432],0,
5,Bam Adebayo OVER PRA 29.5 (GOBLIN) [id:10644451] | Ayo Dosunmu OVER PTS 11.5 (GOBLIN) [id:10652117] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007] | Coby White OVER PRA 20.5 (DEMON) [id:10643856],0.06026211450794235,20.0,1.0,20.0,1.205242290158847,20.0,atlas,0.5734837537803051,0.04173530447492333,Bam Adebayo OVER PRA 29.5 (GOBLIN) [id:10644451] | Ayo Dosunmu OVER PTS 11.5 (GOBLIN) [id:10652117] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007] | Coby White OVER PRA 20.5 (DEMON) [id:10643856],0.0,0.0,0.0,0.0,0.0,0,0.0,1.205242290158847,"['bam adebayo', 'ayo dosunmu', 'tristan silva', 'jared mccain', 'coby white']",1.205242290158847,1,Bam Adebayo OVER PRA 29.5 (GOBLIN) [id:10644451],Ayo Dosunmu OVER PTS 11.5 (GOBLIN) [id:10652117],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007],Coby White OVER PRA 20.5 (DEMON) [id:10643856],0,
5,Davion Mitchell OVER PRA 12.5 (GOBLIN) [id:10653023] | Bam Adebayo OVER PRA 29.5 (GOBLIN) [id:10644451] | De'Aaron Fox UNDER PR 22.5 (STANDARD) [id:10649863] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | LaMelo Ball OVER PTS 23.5 (DEMON) [id:10645622],0.05810493933283851,20.0,1.0,20.0,1.1620987866567702,20.0,atlas,0.5710558208947827,0.04321682013112225,Davion Mitchell OVER PRA 12.5 (GOBLIN) [id:10653023] | Bam Adebayo OVER PRA 29.5 (GOBLIN) [id:10644451] | De'Aaron Fox UNDER PR 22.5 (STANDARD) [id:10649863] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | LaMelo Ball OVER PTS 23.5 (DEMON) [id:10645622],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1620987866567702,"['davion mitchell', 'bam adebayo', ""de'aaron fox"", 'tristan silva', 'lamelo ball']",1.1620987866567702,1,Davion Mitchell OVER PRA 12.5 (GOBLIN) [id:10653023],Bam Adebayo OVER PRA 29.5 (GOBLIN) [id:10644451],De'Aaron Fox UNDER PR 22.5 (STANDARD) [id:10649863],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],LaMelo Ball OVER PTS 23.5 (DEMON) [id:10645622],0,
5,LaMelo Ball OVER PRA 28.5 (GOBLIN) [id:10645623] | Norman Powell OVER PTS 17.5 (GOBLIN) [id:10644555] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231] | Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030] | Jaime Jaquez OVER PRA 27.5 (DEMON) [id:10645607],0.0522016818124352,20.0,1.0,20.0,1.0440336362487042,20.0,atlas,0.5551806969597838,0.042412751069249,LaMelo Ball OVER PRA 28.5 (GOBLIN) [id:10645623] | Norman Powell OVER PTS 17.5 (GOBLIN) [id:10644555] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231] | Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030] | Jaime Jaquez OVER PRA 27.5 (DEMON) [id:10645607],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0440336362487042,"['lamelo ball', 'norman powell', 'trendon watford', 'shai gilgeous-alexander', 'jaime jaquez']",1.0440336362487042,1,LaMelo Ball OVER PRA 28.5 (GOBLIN) [id:10645623],Norman Powell OVER PTS 17.5 (GOBLIN) [id:10644555],Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231],Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030],Jaime Jaquez OVER PRA 27.5 (DEMON) [id:10645607],0,
5,Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10652478] | Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10643884] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Shai Gilgeous-Alexander UNDER PA 39 (STANDARD) [id:10645028] | Coby White OVER PR 19.5 (DEMON) [id:10644475],0.05198737642098526,20.0,1.0,20.0,1.0397475284197053,20.0,atlas,0.5548820653545249,0.04134461207611153,Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10652478] | Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10643884] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Shai Gilgeous-Alexander UNDER PA 39 (STANDARD) [id:10645028] | Coby White OVER PR 19.5 (DEMON) [id:10644475],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0397475284197053,"['collin gillespie', 'davion mitchell', 'moussa diabaté', 'shai gilgeous-alexander', 'coby white']",1.0397475284197053,1,Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10652478],Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10643884],Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],Shai Gilgeous-Alexander UNDER PA 39 (STANDARD) [id:10645028],Coby White OVER PR 19.5 (DEMON) [id:10644475],0,
5,Ayo Dosunmu OVER PTS 11.5 (GOBLIN) [id:10652117] | Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Karl-Anthony Towns UNDER PTS 20.5 (STANDARD) [id:10650134] | Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055] | Donte DiVincenzo OVER RA 9.5 (DEMON) [id:10649246],0.05184015395942171,20.0,1.0,20.0,1.0368030791884342,20.0,atlas,0.5549853650647456,0.03597292581406907,Ayo Dosunmu OVER PTS 11.5 (GOBLIN) [id:10652117] | Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Karl-Anthony Towns UNDER PTS 20.5 (STANDARD) [id:10650134] | Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055] | Donte DiVincenzo OVER RA 9.5 (DEMON) [id:10649246],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0368030791884342,"['ayo dosunmu', 'jaime jaquez', 'karl-anthony towns', 'moussa diabaté', 'donte divincenzo']",1.0368030791884342,1,Ayo Dosunmu OVER PTS 11.5 (GOBLIN) [id:10652117],Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499],Karl-Anthony Towns UNDER PTS 20.5 (STANDARD) [id:10650134],Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055],Donte DiVincenzo OVER RA 9.5 (DEMON) [id:10649246],0,
5,Brandon Miller OVER PTS 18.5 (GOBLIN) [id:10645676] | Norman Powell OVER PA 19.5 (GOBLIN) [id:10644556] | De'Aaron Fox UNDER PRA 29.5 (STANDARD) [id:10649864] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231] | Ryan Kalkbrenner OVER PR 11.5 (DEMON) [id:10650593],0.05084766226032192,20.0,1.0,20.0,1.0169532452064383,20.0,atlas,0.5522349935540507,0.04186015842419364,Brandon Miller OVER PTS 18.5 (GOBLIN) [id:10645676] | Norman Powell OVER PA 19.5 (GOBLIN) [id:10644556] | De'Aaron Fox UNDER PRA 29.5 (STANDARD) [id:10649864] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231] | Ryan Kalkbrenner OVER PR 11.5 (DEMON) [id:10650593],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0169532452064383,"['brandon miller', 'norman powell', ""de'aaron fox"", 'trendon watford', 'ryan kalkbrenner']",1.0169532452064383,1,Brandon Miller OVER PTS 18.5 (GOBLIN) [id:10645676],Norman Powell OVER PA 19.5 (GOBLIN) [id:10644556],De'Aaron Fox UNDER PRA 29.5 (STANDARD) [id:10649864],Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231],Ryan Kalkbrenner OVER PR 11.5 (DEMON) [id:10650593],0,
5,LaMelo Ball OVER PRA 29.5 (GOBLIN) [id:10644530] | Grayson Allen OVER PA 14.5 (GOBLIN) [id:10652204] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | Nikola Jokić UNDER AST 10.5 (STANDARD) [id:10644401] | Norman Powell OVER PRA 29.5 (DEMON) [id:10644564],0.050820286907768096,20.0,1.0,20.0,1.016405738155362,20.0,atlas,0.5525198935030018,0.04869555971429863,LaMelo Ball OVER PRA 29.5 (GOBLIN) [id:10644530] | Grayson Allen OVER PA 14.5 (GOBLIN) [id:10652204] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | Nikola Jokić UNDER AST 10.5 (STANDARD) [id:10644401] | Norman Powell OVER PRA 29.5 (DEMON) [id:10644564],0.0,0.0,0.0,0.0,0.0,0,0.0,1.016405738155362,"['lamelo ball', 'grayson allen', ""kel'el ware"", 'nikola jokić', 'norman powell']",1.016405738155362,1,LaMelo Ball OVER PRA 29.5 (GOBLIN) [id:10644530],Grayson Allen OVER PA 14.5 (GOBLIN) [id:10652204],Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],Nikola Jokić UNDER AST 10.5 (STANDARD) [id:10644401],Norman Powell OVER PRA 29.5 (DEMON) [id:10644564],0,
